Order of Appearance,Variable Name,Variable Label,Answer Label,Transformations,Ideas
47,pqa_assessment_observation,Children are observed to inform planning and support needs.,,Convert to Ordinal (Clean First),
48,pqa_assessment_systematic,Each child’s progress is regularly and systematically monitored in an infor...,,Convert to Ordinal (Clean First),
49,pqa_score_assessment,Score Assessment for Learning and Teaching: assessment_observation + assessment_,Open ended,Nothing,
50,pqa_relationships_peers,Practitioner promotes and encourages positive interaction among children.,,Convert to Ordinal (Clean First),
51,pqa_relationships_staff,"Staff child interaction warm, interested individualised and respectful, sensi...",,Convert to Ordinal (Clean First),
52,pqa_relationships_acknowledge,Children’s efforts and ideas acknowledged.,,Convert to Ordinal (Clean First),
53,pqa_relationships_discipline,"Positive discipline (no physical punishment, yelling, shaming, withholding fo...",,Convert to Ordinal (Clean First),
54,pqa_score_relationships,Score Relationships & Interactions,Open ended,Nothing,
55,pqa_curriculum_ncf,"Learning programme is guided by the NCF ELDAs and aim and phase specific developmental guidelines. Well-being (health), identity and belonging (social and emotional), communication, exploring mathematics, knowledge of the world, creativity.",,Convert to Ordinal (Clean First),
56,pqa_curriculum_plan,Practitioner organises activities according to an integrated weekly and daily plan.,,Convert to Ordinal (Clean First),
57,pqa_curriculum_balance,"Programme includes a balance of  free play (indoor and outdoor), small group (scheduled times for a few children with practitioner)  and whole group activities (ring time, story, music).        Review daily schedule.",,Convert to Ordinal (Clean First),
58,pqa_curriculum_numeracy,"Programme includes numeracy and mathematics activities(counting - rote and with concrete resources, shapes, opportunities to compare, sort and match) and maths is used in daily events.",,Convert to Ordinal (Clean First),
59,pqa_curriculum_literacy,Programme includes language and literacy activities.,,Convert to Ordinal (Clean First),
60,pqa_score_curriculum,Score Curriculum,Open ended,Nothing,
61,pqa_teaching_choice,During free choice times practitioners allow children to have a high level of choice about what to play and what materials to use. Practitioners do not give instructions to children concerning their choice of activities or playmates.,,Convert to Ordinal (Clean First),
62,pqa_teaching_engagement,Staff move around and engage with children during playtime and use a range of...,,Convert to Ordinal (Clean First),
63,pqa_teaching_participation,Group times which are practitioner directed allow for child participation.,,Convert to Ordinal (Clean First),
64,pqa_teaching_questions,Staff ask open ended questions to extend children’s thinking.,,Convert to Ordinal (Clean First),
65,pqa_teaching_support,Staff support children’s emotional and social development: opportunities fo...,,Convert to Ordinal (Clean First),
66,pqa_score_teaching,Score Teaching Strategies,Open ended,Nothing,
67,pqa_class,Class,Open ended,Nothing,
68,pra_free_play,How much time is there for free play as part of the daily programme?,,Convert to Ordinal,
69,pra_free_play_outdoor,How much time is there for free play when the children are outside?,,Convert to Ordinal,
70,pra_groupings,In what groupings do children typically do activities?,Open ended,Nothing,"Could use this and replace groupings 1 to 5, because it is the same as not having this feature dummy encoding groupings 1 to 5"
71,pra_groupings_1,Individually/alone,,Nothing,
72,pra_groupings_2,One on one with adult,,Nothing,
73,pra_groupings_3,In pairs,,Nothing,
74,pra_groupings_4,In small groups,,Nothing,
75,pra_groupings_5,In whole class group,,Nothing,
76,pra_engaged,How often do practitioners join in childrens play to help them learn?,,Convert to Ordinal,
77,pra_agency_choice,"Which one of these two statements do you agree with more?
1. Children should choose their own learning activities in the classroom.
2. Practitioners should be responsible for choosing the playing and learning activities for the children.",,Nothing,
78,pra_agency_explore,"""Which one of these two statements do you agree with more?
1. Children learn best by exploring new things on their own.
2. Children learn best when new things are explained by the practitioner.""",,Nothing,
79,pra_agency_questions,"""Which one of these two statements do you agree with more? 1. If the practitioner answers children’s questions, they will be more likely to get the correct answer. 2. If children answer their own questions, they will be more likely to understand.""",,Nothing,
80,pra_agency_understand,"""Which one of these two statements do you agree with more? 1. It is better if children tell the practitioner when they don’t understand. 2. If children don’t understand, they should try to find the answer independently before asking the practitioner.""",,Nothing,
81,pra_agency_play,"""Which one of these two statements do you agree with more? 1. Early learning is best when children are free to play with whatever they choose. 2. Play in the Programme should be connected to learning outcomes.""",,Nothing,
82,pra_agency_learn,"""Which one of these two statements do you agree with more? 1. Children learn best from their peers. 2. Children learn best from the practitioner.""",,Nothing,
83,pra_agency_order,"""Which one of these two statements do you agree with more? 1. It is important for the class to be orderly and quiet. 2. It is important for children to be free to talk and play.""",,Nothing,
84,pra_plans,Can you see evidence of the following planning materials at the ECD Programme?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
85,pra_plans_1,Daily and/or weekly activity planners,,Nothing,
86,pra_plans_2,Meal plans,,Nothing,
87,pra_plans_3,Curriculum,,Nothing,
88,pra_plans_0,None of these,,Nothing,
89,pra_gender,Practitioners gender,,Nothing,
90,pra_experience,How many years have you been working in the ECD sector?,Open ended,Nothing,
91,pra_class_present,Number of children present during observation,Open ended,Nothing,
92,pra_date,Date,Open ended,Convert to Date,Try it represented in unixtime
93,pra_class_size,How many children are enrolled in your class/group?,Open ended,Nothing,
94,pra_class_attendance,"On a typical weekday, how many children are present in your class?",Open ended,Nothing,
95,pra_class_attendance_precovid,"On a typical weekday, how many children were present in your class before the Covid pandemic?",Open ended,Nothing,
96,pra_class_size_large,"There are children in this class, which is unusually high. Plea...",Open ended,Drop,Clean up before using
97,pra_cohort,Which ages are in the class/group you are responsible for?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
98,pra_cohort_0,0-11 months,,Nothing,
99,pra_cohort_1,1 year,,Nothing,
100,pra_cohort_2,2 years,,Nothing,
101,pra_cohort_3,3 years,,Nothing,
102,pra_cohort_4,4 years,,Nothing,
103,pra_cohort_5,5 years,,Nothing,
104,pra_cohort_6,6 years,,Nothing,
105,pra_class_language,Which language do you use most often when working with the children?,,Nothing,
106,pra_plan_4yrs,What do you use to plan your activities with the children aged 4 and younger?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
107,pra_plan_4yrs_1,A plan provided by an NGO,,Nothing,
108,pra_plan_4yrs_2,A plan I got from another practitioner,,Nothing,
109,pra_plan_4yrs_3,A practitioner guide,,Nothing,
110,pra_plan_4yrs_4,The NCF Birth to Four,,Nothing,
111,pra_plan_4yrs_97,Other,,Nothing,
112,pra_plan_ncf,Is the plan aligned to the NCF from Birth to Four?,,Nothing,
113,pra_plan_5yrs,What do you use to plan your activities with the children aged 5 and older?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
114,pra_plan_5yrs_1,A plan provided by an NGO,,Nothing,
115,pra_plan_5yrs_2,A plan I got from another practitioner,,Nothing,
116,pra_plan_5yrs_3,A practitioner guide,,Nothing,
117,pra_plan_5yrs_4,The CAPS Curriculum,,Nothing,
118,pra_plan_5yrs_5,Grade R toolkit/ Pizza box,,Nothing,
119,pra_plan_5yrs_97,Other,,Nothing,
120,pra_plan_approved,Has the plan been approved by the Department of Basic Education?,,,
121,pra_plan_4yrsother,What else do you use to plan your activities with the children aged 4 and younger?,Open ended,Drop,Clean up before using
122,pra_plan_5yrsother,What else do you use to plan your activities with the children aged 5 and older?,Open ended,Drop,Clean up before using
123,pra_job,What is your job title?,,Nothing,
124,pra_clearance_police,Do you have a Police Clearance certificate?,,Nothing,
125,pra_clearance_ncp,Do you have a National Child Protection Clearance Certificate (Form 29)?,,Nothing,
126,pra_salary,What is your gross monthly salary or stipend?,,Convert to Ordinal,
127,pra_paid,Are you generally paid on time?,,Nothing,
128,pra_breadwinner,Are you the main income earner in the household in which you live?,,Nothing,
129,pra_hhsize,How many people live in the household in which you live (including yourself)?,Open ended,Nothing,
130,pra_education,What is the HIGHEST qualification you have completed?,,Convert to Ordinal,
131,pra_qualification,"Do you have any of the following qualifications in ECD, specifically?",Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
132,pra_qualification_1,Accredited skills programme,,Nothing,
133,pra_qualification_2,NQF Level 1: ECD,,Nothing,
134,pra_qualification_3,NQF Level 4: ECD,,Nothing,
135,pra_qualification_4,NQF Level 5: ECD,,Nothing,
136,pra_qualification_5,"NQF Level 6 (National Diploma in Grade R, Higher Diploma in Education, Advanced",,Nothing,
137,pra_qualification_6,"NQF Level 7 (Bachelor’s degree, Advanced diploma, B-Tech)",,Nothing,
138,pra_qualification_7,"NQF Level 8 or 9 (Honours degree, Post-graduate diploma, Master’s degree etc)",,Nothing,
139,pra_qualification_97,Other,,Nothing,
140,pra_qualification_0,None,,Nothing,
141,pra_educationother,What is the HIGHEST qualification you have completed? (Other),Open ended,Drop,Clean up before using
142,pra_qualificationother,"Do you have any of the following qualifications in ECD, specifically? (Other)",Open ended,Drop,Clean up before using
143,pra_previous,"In the 6 months before you started working at this ECD Programme, what were y...",,Convert to Ordinal,
144,pra_ncf_training,Have you received any training on how to implement the National Curriculum Fr...,,Nothing,
145,pra_ncf_trainer,Who provided you with the training on how to implement the National Curriculu...,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
146,pra_ncf_trainer_1,The principal/ other practitioners at your Programme?,,Nothing,
147,pra_ncf_trainer_2,District DBE officials,,Nothing,
148,pra_ncf_trainer_3,ECD Forum,,Nothing,
149,pra_ncf_trainer_4,NGO,,Nothing,
150,pra_ncf_trainer_5,A training organisation,,Nothing,
151,pra_ncf_trainer_97,Other,,Nothing,
152,pra_ncf_trainerother,Who provided you with the training on how to implement the National Curriculu...,Open ended,Nothing,
153,pra_learnership,Are you currently on a DBE learnership?,,Nothing,
154,pra_training,Have you received training on any of the following?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
155,pra_training_1,Road to Health Booklet,,Nothing,
156,pra_training_2,Training in Health Promotion in ECD,,Nothing,
157,pra_training_3,Positive Parenting Awareness,,Nothing,
158,pra_training_4,Quality classroom practice,,Nothing,
159,pra_training_5,Emergent literacy,,Nothing,
160,pra_training_6,First Aid,,Nothing,
161,pra_training_0,None of these,,Nothing,
162,pra_special_training,Have you ever received training in identifying children with special needs?,,Nothing,
163,pra_special_referrals,Have you ever referred children with special needs to a health practitioner?,,Nothing,
164,pra_online_training,Have you done any ECD specific training online or using a mobile app?,,Nothing,
165,pra_online_training_details,What other online ECD training have you done?,Open ended,Drop,Clean up before using
166,pra_motivate_support,I feel supported in my work,,Convert to Ordinal,
167,pra_motivate_recognition,I feel recognised for my work,,Convert to Ordinal,
168,pra_motivate_mentoring,I regularly meet with people who provide mentoring and teaching support,,Convert to Ordinal,
169,pra_shape,What shape does the classroom have?,,Nothing,
170,pra_measure_rectangle_length,Length,Open ended,Nothing,
171,pra_measure_rectangle_width,Width,Open ended,Nothing,
172,pra_class_space,Size of Classroom,Open ended,Nothing,
173,pra_class_space_small,"This class is ${class_space}sqm, which is unusually small. Please check your measurements. If it is correct, please provide an explanation.",Open ended,Drop,Clean up before using
174,pra_class_space_large,"This class is ${class_space}sqm, which is unusually large. Please check your measurements. If it is correct, please provide an explanation.",Open ended,Drop,Clean up before using
175,pra_ind,Data Indicator: Practitioner interview variables available,,Nothing,
176,pra_language,Which language do you most often speak at home?,Open ended,Nothing,
177,pri_mobile,Is this ECD programme based at a specific location or does it move from place...,,Nothing,
178,pri_school,Is this ECD programme on the premises of a primary school?,,Nothing,
179,pri_holidays,Is the ECD Programme open during school holidays?,,Nothing,
180,pri_days,On how many days per week does the site operate?,Open ended,Nothing,
181,pri_time_open_hours,At what time does the site usually <b>open</b>? Hours,,Nothing,Use this and close data to find length of time open
182,pri_time_open_minutes,At what time does the site usually <b>open</b>?: Minutes,,Nothing,
183,pri_time_close_hours,At what time does the site usually <b>close</b>?: Hours,,Nothing,
184,pri_time_close_minutes,At what time does the site usually <b>close</b>?: Minutes,,Nothing,
185,pri_calc_time_open,Opening Time,Open ended,Drop,Already used to create hour and minutes features above
186,pri_calc_time_close,Closing Time,Open ended,Drop,Already used to create hour and minutes features above
187,pri_year,In which year was the facility opened?,Open ended,Convert to Categorical,
188,pri_separate,Does the ECD Programme offer separate classes for children in the different age groups?,,Convert to Ordinal,
189,pri_language,What is the main language of learning and teaching?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
190,pri_language_1,Afrikaans,,Nothing,
191,pri_language_2,English,,Nothing,
192,pri_language_3,IsiNdebele,,Nothing,
193,pri_language_4,IsiXhosa,,Nothing,
194,pri_language_5,IsiZulu,,Nothing,
195,pri_language_6,Sepedi,,Nothing,
196,pri_language_7,Setswana,,Nothing,
197,pri_language_8,Sesotho,,Nothing,
198,pri_language_9,Siswati,,Nothing,
199,pri_language_10,Tshivenda,,Nothing,
200,pri_language_11,Xitsonga,,Nothing,
201,pri_language_97,Other,,Nothing,
202,pri_languageother,What is the main language of learning and teaching? (Other),Open ended,Drop,Clean up before using
203,pri_toys,Does this ECD Programme run a toy library?,,Nothing,
204,pri_aftercare,"Does this ECD Programme offer aftercare to school-going children, after schoo...",,Nothing,
205,pri_fees,Do you charge fees?,,Nothing,
206,pri_fees_amount,What is the maximum monthly fee per child?,Open ended,Nothing,
207,pri_fees_free,Are some children allowed to attend the ECD programme without having to pay a...,,Nothing,
208,pri_facilities,Who owns the building or structure that the Programme is operating in?,,Nothing,
209,pri_land,Who owns the land the ECD Programme is located on?,,Nothing,
210,pri_facilitiesother,Who owns the facilities that the Programme is operating in? (Other),Open ended,Drop,Clean up before using
211,pri_landother,Who owns the land the ECD Programme is located on? (Other),Open ended,Drop,Clean up before using
212,pri_fundingother,What is the primary funding source of your ECD Services? (Other),Open ended,Drop,Clean up before using
213,pri_bank,Is there a bank account in the name of the ECD Programme?,,Convert to Ordinal,
214,pri_transport,Does the programme offer transport for children?,,Convert to Ordinal,
215,pri_meal,Which meals do the children eat at this ECD Programme?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
216,pri_meal_1,Breakfast,,Nothing,
217,pri_meal_3,Lunch,,Nothing,
218,pri_meal_4,Dinner/Afternoon meal,,Nothing,
219,pri_meal_2,Snacks between meals,,Nothing,
220,pri_registered_partial,Is the ECD service registered as a partial care facility with the  Department of Social Development?,,Convert to Ordinal,
221,pri_registered_programme,Is the ECD service registered for an ECD programme with the Department of Social Development?,,Convert to Ordinal,
222,pri_registered_npo,Is the Programme registered as an NPO?,,Convert to Ordinal,
223,pri_registered_dsd,Is the Programme registered with the Department of Social Development in any way other than as an NPO?,,Convert to Ordinal,
224,pri_subsidy,Does the ECD Programme get the DSD subsidy?,,Nothing,
225,pri_network,Is the Programme part of a larger network or organisation comprising multiple ECD programmes?,,Nothing,
226,pri_dsd_year,In what year was the ECD Programme first registered with DSD?,Open ended,Convert to Categorical,
227,pri_capacity,What is the official capacity for this ECD Programme according to the DSD partial care or programme registration?,Open ended,Nothing,
228,pri_reason_register_year,There are at least ${count_register_year_school} children of school-going age (born in 2013 or 2014). Please go back and correct the number of learners (total and by age group) or explain why these children are registered with the ECD programme.,Open ended,Drop,Clean up before using
229,pri_attendance_usual,"Is todays attendance normal, according to the practitioners?",,Nothing,
230,pri_precovid_attendance,Did more children use to attend the ECD before the start of COVID?,,Nothing,
231,pri_kitchen,Is the area for cooking and preparing meals <b>separated</b> from where the children are?,,Nothing,
232,pri_funding_6,Does the programme receive money from the following sources?: funding==Fees,,Nothing,Could create group categorical like other questions like this
233,pri_funding_7,Does the programme receive money from the following sources?: funding==Government subsidy,,Nothing,
234,pri_funding_donations,Does the programme receive money from the following sources?: funding==Donations/Fundraising,,Nothing,
235,pri_funding_97,Does the programme receive money from the following sources?: funding==Other,,Nothing,
236,pri_attendance,"In the past term, how many times a week on average has this child attended class",,Convert to Ordinal,
237,pri_fees_exceptions,Are there any other exceptions to the fees amount for certain groups of children?,,Nothing,
238,pri_fees_paid_proportion,"Last month, what proportion of parents paid the fees?",,Convert to Ordinal,
239,pri_amount_funding_dsd,How much money does the programme receive from DSD subsidy per month?,Open ended,Nothing,
240,pri_amount_funding_fees,How much money does the programme receive from fees per month?,Open ended,Nothing,
241,pri_date,Date,Open ended,Convert to Date,Try it represented in unixtime
242,pri_education,What is the HIGHEST qualification you have completed?,,Convert to Ordinal,
243,pri_qualification,"Do you have any of the following qualifications in ECD, specifically?",Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
244,pri_qualification_1,Accredited skills programme,,Nothing,
245,pri_qualification_2,NQF Level 1: ECD,,Nothing,
246,pri_qualification_3,NQF Level 4: ECD,,Nothing,
247,pri_qualification_4,NQF Level 5: ECD,,Nothing,
248,pri_qualification_5,"NQF Level 6 (National Diploma in Grade R, Higher Diploma in Education, Advanced",,Nothing,
249,pri_qualification_6,"NQF Level 7 (Bachelor’s degree, Advanced diploma, B-Tech)",,Nothing,
250,pri_qualification_7,"NQF Level 8 or 9 (Honours degree, Post-graduate diploma, Master’s degree etc)",,Nothing,
251,pri_qualification_97,Other,,Nothing,
252,pri_qualification_0,None,,Nothing,
253,pri_qualificationother,"Do you have any of the following qualifications in ECD, specifically? (Other)",Open ended,Drop,Clean up before using
254,pri_founder,Who started the Programme?,,Nothing,
255,pri_founderother,Who else started the Programme?,Open ended,Drop,Clean up before using
256,pri_same_language,What proportion of children speak the same language at their homes as used during learning and teaching?,,Convert to Ordinal,
257,pri_location,Where is the ECD Programme located?,,Convert to Ordinal,
258,pri_locationother,What is the other location of the ECD Programme?,Open ended,Nothing,
259,pri_library,Does this ECD Programme run a library (for books)?,,Nothing,
260,pri_dsd_conditional,What is the main reason why the programme is conditionally registered with the Department of Social Development?,Open ended,Nothing,
261,pri_dsd_conditional_other,What is the other reason why the programme is conditionally registered with the DSD,Open ended,Drop,Clean up before using
262,pri_dsd_unregistered,What are the main reasons why the programme is not registered with the DSD?,Open ended,Nothing,
263,pri_dsd_unregistered_other,What is the other reason why the programme is not registered with the DSD?,Open ended,Drop,Clean up before using
264,pri_registered_health,Does the programme have a Health Certificate?,,Nothing,
265,pri_zoning,Do you have the correct zoning/land use approval?,,Nothing,
266,pri_registered_cipc,Is the Programme registered with the Companies and Intellectual Property Commission?,,Nothing,
267,pri_network_type,What type of network or organisation is the ECD Programme a part of?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
268,pri_network_type_1,An ECD Forum,,Nothing,
269,pri_network_type_2,An NGO,,Nothing,
270,pri_network_type_3,An Alliance/Association,,Nothing,
271,pri_network_type_97,Other,,Nothing,
272,pri_name_network_forum,What is the name of the Forum you are a part of?,Open ended,Nothing,
273,pri_email_network_forum,What is the email address of the Forum you are a part of?,Open ended,Drop,Revisit later
274,pri_name_network_ngo,What is the name of the NGO you are a part of?,Open ended,Nothing,
275,pri_name_network_alliance,What is the name of the Alliance/ Association you are a part of?,Open ended,Nothing,
276,pri_name_network_other,What is the name of the Other network you are a part of?,Open ended,Drop,Clean up before using
277,pri_children_4_6_years,Children aged 4-6 years old,Open ended,Nothing,
278,pri_difficult_see,".Compared with children of the same age, how many children aged 4 and older have a lot of difficulty.....seeing?",Open ended,Nothing,
279,pri_difficult_hear,"Compared with children of the same age, how many children aged 4 and older have a lot of difficulty......hearing sounds like peoples voices/music?",Open ended,Nothing,
280,pri_difficult_walk,"Compared with children of the same age, how many children aged 4 and older have a lot of difficulty......walking?",Open ended,Nothing,
281,pri_difficult_hold,"Compared with children of the same age, how many children aged 4 and older have a lot of difficulty......holding a crayon in their hand?",Open ended,Nothing,
282,pri_difficult_communicate,"Compared with children of the same age, how many children aged 4 and older have a lot of difficulty......communicating with others?",Open ended,Nothing,
283,pri_difficult_learn,"Compared with children of the same age, how many children aged 4 and older have a lot of difficulty......learning things?",Open ended,Nothing,
284,pri_support_dsd,"In 2019, how many times did you receive a visit from someone from... Department of Social Development?",,Convert to Ordinal,
285,pri_support_dbe,"In 2019, how many times did you receive a visit from someone from...Department of Basic Education?",,Convert to Ordinal,
286,pri_support_municipality,"In 2019, how many times did you receive a visit from someone from...Municipality?",,Convert to Ordinal,
287,pri_support_ngo,"In 2019, how many times did you receive a visit from someone from...NGO/Training organisation?",,Convert to Ordinal,
288,pri_firstaid,Is at least one of the staff trained in first aid procedures?,,Nothing,
289,pri_staff_employed,How many staff have you employed this year compared to previous years?,,Convert to Ordinal,
290,pri_staff_changes_reasons,What are the reasons for the change in staff numbers?,Open ended,Nothing,
291,pri_staff_changes_reasonsother,What are the other reasons for the change in staff numbers?,Open ended,Drop,Clean up before using
292,pri_covid_staff_retrench,How many staff members did you have to lay off last year?,Open ended,Nothing,
293,pri_covid_staff_salaries,Have you been able to pay existing staff their normal salaries?,,Convert to Ordinal,
294,pri_money,How else do you manage the programmes money?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
295,pri_money_1,Cash,,Nothing,
296,pri_money_2,"Mobile banking (e.g. MTN MoMo, FNB eWallet, or Standard Bank's WeChat Wallet)",,Nothing,
297,pri_money_3,"Retail banking (e.g. money transfers via PicknPay, Shoprite, or PEP stores)",,Nothing,
298,pri_money_97,Other,,Nothing,
299,pri_money__1,Don't know,,Nothing,
300,pri_funding_1,Subsidy from DSD,,Nothing,Could create group categorical like other questions like this
301,pri_funding_2,Subsidy from DBE,,Nothing,
302,pri_funding_3,Subsidy from DOH,,Nothing,
303,pri_funding_4,Donations,,Nothing,
304,pri_funding_5,Fund raising,,Nothing,
305,pri_funding_none,No income,,Nothing,
306,pri_moneyother,In what other ways do you manage the programmes money?,Open ended,Drop,Clean up before using
307,pri_funding_salary,Does any other organisation contribute to the salaries/stipends of your staff?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
308,pri_funding_salary_1,Community works programme,,Nothing,
309,pri_funding_salary_2,Expanded public works programme,,Nothing,
310,pri_funding_salary_3,Learnership programme,,Nothing,
311,pri_funding_salary_4,YES Initiative,,Nothing,
312,pri_funding_salary_97,Other,,Nothing,
313,pri_funding_salary_0,None,,Nothing,
314,pri_funding_food,Does any other organisation contribute to the meals or snacks that is provide...,,,
315,pri_funding_salaryother,What OTHER organisation contributes to the salaries/stipends of your staff?,Open ended,Drop,Clean up before using
316,pri_fees_amount_0_1,What is the maximum amount per child per month that parents pay for children aged 0-1 years?,Open ended,Nothing,
317,pri_fees_amount_2_3,What is the maximum amount per child per month that parents pay for children aged 2-3 years?,Open ended,Nothing,
318,pri_fees_exceptions_other,What are the other exceptions to the fees amount for certain groups of children?,Open ended,Drop,Clean up before using
319,pri_expense_food,What is the amount per month that the Programme spends on the following items?: Food,Open ended,Nothing,
320,pri_expense_staff,What is the amount per month that the Programme spends on the following items? Salaries/stipends,Open ended,Nothing,
321,pri_expense_rent,What is the amount per month that the Programme spends on the following items? Rent,Open ended,Nothing,
322,pri_expense_materials,What is the amount per month that the Programme spends on the following items?Child and Practitioner Support Materials,Open ended,Nothing,
323,pri_expense_maintenance,"What is the amount per month that the Programme spends on the following items? Lighting, heating, cooking, water, sanitation, maintenance and building costs",Open ended,Nothing,
324,pri_expense_admin,"What is the amount per month that the Programme spends on the following items?Administration, safety and security",Open ended,Nothing,
325,pri_expense_other,What is the amount per month that the Programme spends on the following items? Other Expenses,Open ended,Nothing,
326,pri_expenseother,What are the other expenses the Programme spends money on?,Open ended,Drop,Clean up before using
327,pri_covid_fund_applied,Have you applied for the DSD Covid Support Fund?,,Nothing,
328,pri_covid_fund_received,Have you received support from the DSD Covid Support Fund?,,Nothing,
329,pri_clinic_time,How many minutes does it take you to get to the nearest clinic by transport?,Open ended,Nothing,
330,pri_clinic_travel,How do you usually travel to the nearest clinic?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
331,pri_clinic_travel_1,Own vehicle,,Nothing,
332,pri_clinic_travel_2,Friend/family's vehicle,,Nothing,
333,pri_clinic_travel_3,Public transport,,Nothing,
334,pri_clinic_travel_4,On foot,,Nothing,
335,pri_clinic_travel_5,Bicycle,,Nothing,
336,pri_clinic_travel_97,Other,,Nothing,
337,pri_health_1,Vision screening,,Nothing,Could create group categorical like other questions like this
338,pri_health_2,Hearing screening,,Nothing,
339,pri_health_3,Developmental screening,,Nothing,
340,pri_health_4,Immunisations,,Nothing,
341,pri_health_5,Deworming,,Nothing,
342,pri_health_97,Other,,Nothing,
343,pri_health_0,None of these,,Nothing,
344,pri_clinic_travelother,How do you usually travel to the nearest clinic? (Other),Open ended,Drop,Clean up before using
345,pri_covid_awareness,What COVID-19 related awareness activities do you do?,Open ended,Nothing,"Could use this and replace groupings, because it is the same as not having this feature dummy encoding groupings"
346,pri_covid_awareness_1,"Personal hygiene education for children (e.g., washing hands, not touching face,",,Nothing,
347,pri_covid_awareness_2,Social distancing training for children and staff,,Nothing,
